transcript	eQTL_Chr	eQTL_peak	finemapping_gene	finemapping_variant	BLOSUM	VARIANT_IMPACT	class	hotspot_cM	hotspot_Chr	Merged_hotspots_cM
T04A11.4.1	IV	10931703	nhr-258	8046258	-1	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
T04A11.4.1	IV	10931703	zim-1	10547775	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
T04A6.3b.1	V	20101488	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
T04H1.6.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
T04H1.9.2	III	3353294	wdr-5.1	3705516	-1	HIGH	Chromatin cofactor	20.5	III	20.5
T04H1.9.2	III	3353294	wdr-5.1	3705516	-1	HIGH	Chromatin cofactor	20.5	X	20.5
T05B9.1.1	V	10580510	zip-9	10942871	-2	HIGH	TF	23	V	23, 23.5
T05H4.8	II	8795806	aptf-4	8591771	-2	HIGH	TF	19	II	19, 19.5
T05H4.8	II	8795806	aptf-4	8591771	-2	HIGH	TF	19	X	18.5, 19, 19.5
T06A10.3a.1	IV	15705753	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
T06E4.5.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
T07F12.3.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
T07G12.6b.1	IV	9330791	nhr-264	9293192	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
T07G12.6b.1	IV	9330791	zim-2	10557342	-3	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
T07G12.6b.1	IV	9330791	zim-3	10559496	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
T07G12.6b.1	IV	9330791	zim-3	10559793	-1	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
T08E11.3.1	V	4375888	nhr-181	4095405	-2	HIGH	TF	14.5	V	14.5, 15
T09B4.6.1	V	20101488	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
T10B5.8.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
T10B9.5.1	IV	6179627	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
T10B9.5.1	IV	6179627	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
T11A5.6c.1	X	6631333	sprp-4	8850619	-2	HIGH	TF	18.5	X	18.5, 19, 19.5
T11G6.7	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
T11G6.7	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
T13H5.3.1	V	7317606	nhr-148	7343333	-2	HIGH	TF	21	V	21
T13H5.3.1	V	7317606	nhr-148	7343333	-2	HIGH	TF	21	I	21
T14G10.8a.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
T14G10.8a.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
T14G12.4a.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
T14G12.4a.1	IV	7858491	nhr-264	9293192	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
T14G12.4a.1	IV	7858491	zim-2	10557342	-3	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
T14G12.4a.1	IV	7858491	zim-3	10559496	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
T14G12.4a.1	IV	7858491	zim-3	10559793	-1	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
T17A3.3.1	IV	9092582	nhr-264	9293192	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
T19A5.3a.2	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
T19B10.9.1	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
T19D7.5.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
T20B6.2	X	4562158	lfi-1	4976984	-2	HIGH	TF	14	X	14
T20H9.6	X	4562158	lfi-1	4976984	-2	HIGH	TF	14	X	14
T21C9.13.1	V	20410886	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
T21C9.13.1	V	20410886	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
T21E3.2.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
T21E3.2.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
T22D1.12b.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
T22F3.3a.1	IV	15469577	nhr-5	15406553	-2	HIGH	TF	41.5	IV	41.5, 42, 42.5
T22G5.6.2	V	18898401	nhr-231	18793224	-2	HIGH	TF	39	V	39
T23B12.5.1	V	7317606	nhr-148	7343333	-2	HIGH	TF	21	V	21
T23B12.5.1	V	7317606	nhr-148	7343333	-2	HIGH	TF	21	I	21
T23B5.4b.1	IV	10931703	plp-1	7634038	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
T23B5.4b.1	IV	10931703	nhr-258	8046258	-1	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
T23B5.4b.1	IV	10931703	zim-1	10547775	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
T23F6.3a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
T23F6.3a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
T25B9.8.2	IV	12140133	zim-3	10559496	-2	HIGH	TF	33.5	IV	33.5
T25B9.8.2	IV	12140133	zim-3	10559496	-2	HIGH	TF	33.5	V	33.5
T25B9.8.2	IV	12140133	zim-3	10559793	-1	HIGH	TF	33.5	IV	33.5
T25B9.8.2	IV	12140133	zim-3	10559793	-1	HIGH	TF	33.5	V	33.5
T25E12.16.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
T25E12.16.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
T26A5.2b.1	III	8254319	nfx-1	6375500	-2	HIGH	TF	27	V	26, 26.5, 27
T26A5.2b.1	III	8254319	nfx-1	6375500	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
T26A5.2b.1	III	8254319	mml-1	7371604	-2	HIGH	TF	27	V	26, 26.5, 27
T26A5.2b.1	III	8254319	mml-1	7371604	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
T26A5.2b.1	III	8254319	R05D3.3	8366304	-3	HIGH	TF	27	V	26, 26.5, 27
T26A5.2b.1	III	8254319	R05D3.3	8366304	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
T27E4.2.1	IV	9092582	hil-2	6294361	-2	HIGH	Chromatin cofactor	31.5	IV	30.5, 31, 31.5, 32, 32.5
T27E4.2.1	IV	9092582	zim-2	10557342	-3	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
T27F6.8.2	IV	10339410	zim-2	10557342	-3	HIGH	TF	32	I	32
T27F6.8.2	IV	10339410	zim-2	10557342	-3	HIGH	TF	32	IV	30.5, 31, 31.5, 32, 32.5
T27F6.8.2	IV	10339410	zim-3	10559496	-2	HIGH	TF	32	I	32
T27F6.8.2	IV	10339410	zim-3	10559496	-2	HIGH	TF	32	IV	30.5, 31, 31.5, 32, 32.5
T27F6.8.2	IV	10339410	zim-3	10559793	-1	HIGH	TF	32	I	32
T27F6.8.2	IV	10339410	zim-3	10559793	-1	HIGH	TF	32	IV	30.5, 31, 31.5, 32, 32.5
T28F12.3a.2	IV	15469577	nhr-5	15406553	-2	HIGH	TF	41.5	IV	41.5, 42, 42.5
VB0395L.1.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
VB0395L.1.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
VY10G11R.1.1	V	10487063	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
VY10G11R.1.1	V	10487063	zip-5	13269711	-2	HIGH	TF	23	V	23, 23.5
W01B6.11	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
W02B12.12a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
W02B12.12a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
W02G9.2c.1	V	13718280	nhr-84	15878383	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
W02G9.2c.1	V	13718280	nhr-84	15878383	-2	HIGH	TF	26	V	26, 26.5, 27
W03F11.1b.1	IV	15705753	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
W04A4.2.1	I	4479282	lim-7	5725342	-1	HIGH	TF	21	V	21
W04A4.2.1	I	4479282	lim-7	5725342	-1	HIGH	TF	21	I	21
W04B5.1	I	4446767	lim-7	5725342	-1	HIGH	TF	21	V	21
W04B5.1	I	4446767	lim-7	5725342	-1	HIGH	TF	21	I	21
W04D2.3a.1	X	8835261	sprp-4	8850619	-2	HIGH	TF	21.5	X	21.5, 22
W04D2.3a.1	X	8835261	sprp-4	8850619	-2	HIGH	TF	21.5	II	21.5
W04H10.3a.2	V	20101488	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
W04H10.4a.1	II	8087770	aptf-4	8591771	-2	HIGH	TF	19	II	19, 19.5
W04H10.4a.1	II	8087770	aptf-4	8591771	-2	HIGH	TF	19	X	18.5, 19, 19.5
W05F2.2	IV	9092582	hil-2	6294361	-2	HIGH	Chromatin cofactor	31.5	IV	30.5, 31, 31.5, 32, 32.5
W05H5.3.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
W05H5.3.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
W06D12.1.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
W06D12.1.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
W06H3.3.1	V	13709420	nhr-213	15896217	-1	HIGH	TF	26	III	26, 26.5, 27, 27.5
W06H3.3.1	V	13709420	nhr-213	15896217	-1	HIGH	TF	26	V	26, 26.5, 27
W07G9.2c.1	V	13728639	nhr-247	15323857	-1	HIGH	TF	26	III	26, 26.5, 27, 27.5
W07G9.2c.1	V	13728639	nhr-247	15323857	-1	HIGH	TF	26	V	26, 26.5, 27
W08G11.3a.2	IV	16421553	C35D6.4	16351455	-2	HIGH	TF	42.5	IV	41.5, 42, 42.5
W08G11.3a.2	V	14018792	nhr-84	15878383	-2	HIGH	TF	26.5	V	26, 26.5, 27
W08G11.3a.2	V	14018792	nhr-84	15878383	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
W09B7.2.1	V	16535765	nhr-176	16071671	-1	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
W09B7.2.1	V	16535765	nhr-176	16071671	-1	HIGH	TF	30.5	V	30.5
W09B7.2.1	V	16535765	nhr-176	16071686	-2	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
W09B7.2.1	V	16535765	nhr-176	16071686	-2	HIGH	TF	30.5	V	30.5
W09B7.2.1	V	16535765	nhr-176	16072674	-3	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
W09B7.2.1	V	16535765	nhr-176	16072674	-3	HIGH	TF	30.5	V	30.5
W10D9.4b.1	IV	15705753	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
Y102A5C.1.2	IV	16631240	C35D6.4	16351455	-2	HIGH	TF	42.5	IV	41.5, 42, 42.5
Y105C5A.25	I	4446767	lim-7	5725342	-1	HIGH	TF	21	V	21
Y105C5A.25	I	4446767	lim-7	5725342	-1	HIGH	TF	21	I	21
Y105C5B.11b.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
Y106G6H.6a.2	IV	15068097	nhr-5	15406553	-2	HIGH	TF	40.5	IV	40.5
Y108G3AL.2.2	V	10343103	cky-1	12740287	-1	HIGH	TF	23	V	23, 23.5
Y110A2AL.12a.1	II	9215013	jun-1	9129595	-1	HIGH	TF	19.5	II	19, 19.5
Y110A2AL.12a.1	II	9215013	jun-1	9129595	-1	HIGH	TF	19.5	X	18.5, 19, 19.5
Y110A2AL.12a.2	II	9215013	jun-1	9129595	-1	HIGH	TF	19.5	II	19, 19.5
Y110A2AL.12a.2	II	9215013	jun-1	9129595	-1	HIGH	TF	19.5	X	18.5, 19, 19.5
Y116A8C.468.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
Y116F11B.13.1	V	14773604	nhr-247	15323880	-4	HIGH	TF	27	V	26, 26.5, 27
Y116F11B.13.1	V	14773604	nhr-247	15323880	-4	HIGH	TF	27	III	26, 26.5, 27, 27.5
Y116F11B.13.1	V	14773604	nhr-247	15323880	-1	HIGH	TF	27	V	26, 26.5, 27
Y116F11B.13.1	V	14773604	nhr-247	15323880	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
Y116F11B.6.1	II	8795806	aptf-4	8591771	-2	HIGH	TF	19	II	19, 19.5
Y116F11B.6.1	II	8795806	aptf-4	8591771	-2	HIGH	TF	19	X	18.5, 19, 19.5
Y11D7A.12a.2	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
Y13C8A.1.1	IV	4649779	set-21	4391968	-1	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y16E11A.1.1	V	11238035	zip-9	10942871	-2	HIGH	TF	23.5	V	23, 23.5
Y16E11A.1.1	V	11238035	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23.5	V	23, 23.5
Y18H1A.11c.1	X	4562158	lfi-1	4976984	-2	HIGH	TF	14	X	14
Y20F4.3a.1	V	20018771	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
Y32F6A.6	X	9217864	sprp-4	8850619	-2	HIGH	TF	22	X	21.5, 22
Y34B4A.3.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
Y34B4A.3.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
Y37F4.3.1	IV	8583608	C08G9.2	7672792	-1	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
Y37F4.3.1	IV	8583608	nhr-267	9285699	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
Y37F4.3.1	IV	8583608	nhr-264	9293192	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
Y37H2A.8	IV	12147829	zim-3	10559496	-2	HIGH	TF	33.5	IV	33.5
Y37H2A.8	IV	12147829	zim-3	10559496	-2	HIGH	TF	33.5	V	33.5
Y37H2A.8	IV	12147829	zim-3	10559793	-1	HIGH	TF	33.5	IV	33.5
Y37H2A.8	IV	12147829	zim-3	10559793	-1	HIGH	TF	33.5	V	33.5
Y38C1AB.8b.1	V	10343103	cky-1	12740287	-1	HIGH	TF	23	V	23, 23.5
Y38C1AB.8b.1	X	4562158	lfi-1	4976984	-2	HIGH	TF	14	X	14
Y38C9B.1.1	II	8200881	aptf-4	8591771	-2	HIGH	TF	19	II	19, 19.5
Y38C9B.1.1	II	8200881	aptf-4	8591771	-2	HIGH	TF	19	X	18.5, 19, 19.5
Y38H6A.4	X	12507147	odr-7	12460597	-1	HIGH	TF	28.5	X	28.5
Y38H6A.4	X	12507147	odr-7	12460627	-1	HIGH	TF	28.5	X	28.5
Y38H6A.4	X	12507147	nhr-214	12701618	-1	HIGH	TF	28.5	X	28.5
Y39A1A.9.1	X	14460051	ztf-14	14496428	-2	HIGH	TF	38	X	38
Y39A1B.2a.1	V	16518382	nhr-176	16071671	-1	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
Y39A1B.2a.1	V	16518382	nhr-176	16071671	-1	HIGH	TF	30.5	V	30.5
Y39A1B.2a.1	V	16518382	nhr-176	16071686	-2	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
Y39A1B.2a.1	V	16518382	nhr-176	16071686	-2	HIGH	TF	30.5	V	30.5
Y39A1B.2a.1	V	16518382	nhr-176	16072674	-3	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
Y39A1B.2a.1	V	16518382	nhr-176	16072674	-3	HIGH	TF	30.5	V	30.5
Y39E4A.3a.2	III	8065619	mml-1	7371604	-2	HIGH	TF	27	V	26, 26.5, 27
Y39E4A.3a.2	III	8065619	mml-1	7371604	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
Y39E4A.3a.2	III	8065619	R05D3.3	8366304	-3	HIGH	TF	27	V	26, 26.5, 27
Y39E4A.3a.2	III	8065619	R05D3.3	8366304	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
Y39E4B.9d.1	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
Y39F10A.3.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
Y39G8B.2.2	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
Y39H10A.3a.1	IV	15471110	nhr-5	15406553	-2	HIGH	TF	41.5	IV	41.5, 42, 42.5
Y39H10A.3a.1	IV	15471110	C35D6.4	16351455	-2	HIGH	TF	41.5	IV	41.5, 42, 42.5
Y39H10A.6a.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y41D4B.10a.1	IV	4665571	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y43C5A.5a.1	IV	9070630	nhr-267	9285699	-2	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
Y43F8C.3.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y45F10B.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
Y45F10B.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
Y45G5AM.1a.2	V	14654518	set-5	14699485	-4	HIGH	Chromatin cofactor	27	V	26, 26.5, 27
Y45G5AM.1a.2	V	14654518	set-5	14699485	-4	HIGH	Chromatin cofactor	27	III	26, 26.5, 27, 27.5
Y46H3A.2.1	III	3353294	wdr-5.1	3705516	-1	HIGH	Chromatin cofactor	20.5	III	20.5
Y46H3A.2.1	III	3353294	wdr-5.1	3705516	-1	HIGH	Chromatin cofactor	20.5	X	20.5
Y47D3B.3.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y47D3B.5b.1	III	2646834	ceh-44	2539980	-1	HIGH	TF	16.5	III	16.5
Y47D7A.2.1	IV	9116894	zim-2	10557342	-3	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
Y47D9A.3.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
Y47D9A.3.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
Y47G6A.10.1	IV	8337815	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
Y47G6A.19c.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
Y47G6A.32.1	X	8581338	sprp-4	8850619	-2	HIGH	TF	21.5	X	21.5, 22
Y47G6A.32.1	X	8581338	sprp-4	8850619	-2	HIGH	TF	21.5	II	21.5
Y48G8AL.11a.1	II	8699190	jun-1	9129595	-1	HIGH	TF	19	II	19, 19.5
Y48G8AL.11a.1	II	8699190	jun-1	9129595	-1	HIGH	TF	19	X	18.5, 19, 19.5
Y48G8AL.11a.2	II	8699190	aptf-4	8591771	-2	HIGH	TF	19	II	19, 19.5
Y48G8AL.11a.2	II	8699190	aptf-4	8591771	-2	HIGH	TF	19	X	18.5, 19, 19.5
Y48G8AL.11a.2	II	8699190	jun-1	9129595	-1	HIGH	TF	19	II	19, 19.5
Y48G8AL.11a.2	II	8699190	jun-1	9129595	-1	HIGH	TF	19	X	18.5, 19, 19.5
Y49F6C.1	II	8699190	aptf-4	8591771	-2	HIGH	TF	19	II	19, 19.5
Y49F6C.1	II	8699190	aptf-4	8591771	-2	HIGH	TF	19	X	18.5, 19, 19.5
Y4C6A.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
Y4C6A.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
Y50E8A.6.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
Y50E8A.6.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
Y53F4B.22a.2	X	8579010	sprp-4	8850619	-2	HIGH	TF	21.5	X	21.5, 22
Y53F4B.22a.2	X	8579010	sprp-4	8850619	-2	HIGH	TF	21.5	II	21.5
Y53G8AR.2b.2	II	9223105	jun-1	9129595	-1	HIGH	TF	19.5	II	19, 19.5
Y53G8AR.2b.2	II	9223105	jun-1	9129595	-1	HIGH	TF	19.5	X	18.5, 19, 19.5
Y53G8AR.3a.2	III	5540044	set-2	4929670	-2	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
Y53G8AR.3a.2	III	5540044	set-2	4929670	-2	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
Y54E5A.2.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
Y54E5A.2.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
Y54F10AM.2a.1	II	7779364	nfi-1	7541320	-4	HIGH	TF	19	II	19, 19.5
Y54F10AM.2a.1	II	7779364	nfi-1	7541320	-4	HIGH	TF	19	X	18.5, 19, 19.5
Y54G11B.1.1	X	14446308	ztf-14	14496428	-2	HIGH	TF	38	X	38
Y54G2A.73b.1	IV	15822445	C35D6.4	16351455	-2	HIGH	TF	42	IV	41.5, 42, 42.5
Y55B1BR.3.2	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
Y55B1BR.3.2	IV	7858491	nhr-264	9293192	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
Y55F3AM.12.2	V	11128459	cky-1	12740287	-1	HIGH	TF	23.5	V	23, 23.5
Y55F3AM.7b.1	IV	7428006	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
Y55H10A.1.1	III	8549722	mml-1	7371604	-2	HIGH	TF	27.5	IV	27.5, 28
Y55H10A.1.1	III	8549722	mml-1	7371604	-2	HIGH	TF	27.5	III	26, 26.5, 27, 27.5
Y55H10A.1.1	III	8549722	R05D3.3	8366304	-3	HIGH	TF	27.5	IV	27.5, 28
Y55H10A.1.1	III	8549722	R05D3.3	8366304	-3	HIGH	TF	27.5	III	26, 26.5, 27, 27.5
Y56A3A.14.1	II	8699190	aptf-4	8591771	-2	HIGH	TF	19	II	19, 19.5
Y56A3A.14.1	II	8699190	aptf-4	8591771	-2	HIGH	TF	19	X	18.5, 19, 19.5
Y56A3A.30.2	V	18960133	nhr-231	18793224	-2	HIGH	TF	39	V	39
Y56A3A.7a.1	IV	4430374	jmjd-1.2	4661115	-3	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y57A10A.28.1	V	13718280	zip-5	13269711	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
Y57A10A.28.1	V	13718280	zip-5	13269711	-2	HIGH	TF	26	V	26, 26.5, 27
Y57G11C.46.1	IV	7156654	C08G9.2	7672792	-1	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
Y57G11C.46.1	IV	7156654	nhr-267	9285699	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
Y59E9AL.2.1	IV	10931703	nhr-258	8046258	-1	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
Y59E9AL.2.1	IV	10931703	zim-1	10547775	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
Y59E9AL.5	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
Y59E9AL.5	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
Y59H11AM.1.1	IV	4396037	set-21	4391968	-1	HIGH	Chromatin cofactor	27.5	IV	27.5, 28
Y59H11AM.1.1	IV	4396037	set-21	4391968	-1	HIGH	Chromatin cofactor	27.5	III	26, 26.5, 27, 27.5
Y61A9LA.10.1	IV	6539887	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
Y61A9LA.10.1	IV	6539887	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
Y63D3A.2.1	IV	4665571	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y63D3A.6a.1	V	10487063	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
Y63D3A.6a.1	V	10487063	zip-5	13269711	-2	HIGH	TF	23	V	23, 23.5
Y65B4BM.3.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y66D12A.16c.1	II	9126470	jun-1	9129595	-1	HIGH	TF	19.5	II	19, 19.5
Y66D12A.16c.1	II	9126470	jun-1	9129595	-1	HIGH	TF	19.5	X	18.5, 19, 19.5
Y67A10A.4.1	V	20014990	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
Y68A4A.13.1	IV	16027005	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
Y69A2AR.30b.1	IV	4430374	set-21	4391968	-1	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y69E1A.2.1	IV	9116894	zim-2	10557342	-3	HIGH	TF	31.5	IV	30.5, 31, 31.5, 32, 32.5
Y69E1A.2.2	IV	8354063	nhr-264	9293192	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
Y69E1A.4.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
Y69E1A.4.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
Y70C5C.5	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
Y70C5C.5	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
Y71G12B.12a.2	V	13709420	set-5	14699485	-4	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
Y71G12B.12a.2	V	13709420	set-5	14699485	-4	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
Y71H2AM.15b.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
Y73B6BL.31b.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
Y73B6BL.43.1	IV	10940663	zim-2	10557342	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
Y73C8C.10.1	X	4562158	lfi-1	4976984	-2	HIGH	TF	14	X	14
